state,county,location,mile,km,exit,destinations,notes
New Jersey,"Middlesex County, New Jersey","Edison, New Jersey",0.00,Category:Pages with bad rounding precision,,Category:Jct template transclusions with missing shields,Continuation beyond I-95/ NJ Turnpike
New Jersey,"Middlesex County, New Jersey","Edison, New Jersey",0.00,Category:Pages with bad rounding precision,,Category:Jct template transclusions with missing shields,NJTP exit10
New Jersey,"Middlesex County, New Jersey","Edison, New Jersey",0.93,Category:Pages with bad rounding precision,1,Category:Jct template transclusions with missing shields,Signed as 1A and 1B; CR531 south is accessible from southbound traffic only
New Jersey,"Middlesex County, New Jersey","Edison, New Jersey",2.24,Category:Pages with bad rounding precision,2,Category:Jct template transclusions with missing shields,Signed as 2A and 2B; northbound exit and southbound entrance
New Jersey,"Middlesex County, New Jersey","Edison, New Jersey",3.09,Category:Pages with bad rounding precision,3,Category:Jct template transclusions with missing shields,Southbound exit and northbound entrance
New Jersey,"Middlesex County, New Jersey","South Plainfield, New Jersey",4.62,Category:Pages with bad rounding precision,4,"South Plainfield, New Jersey",Northbound exit and southbound entrance
New Jersey,"Middlesex County, New Jersey","South Plainfield, New Jersey",5.88,Category:Pages with bad rounding precision,5,Category:Jct template transclusions with missing shields,
New Jersey,"Middlesex County, New Jersey","Piscataway, New Jersey",6.41,Category:Pages with bad rounding precision,6,"Piscataway, New Jersey",No southbound entrance
New Jersey,"Middlesex County, New Jersey","Piscataway, New Jersey",7.27,Category:Pages with bad rounding precision,7,"Piscataway, New Jersey",
New Jersey,"Middlesex County, New Jersey","Piscataway, New Jersey",8.47,Category:Pages with bad rounding precision,8,"Middlesex, New Jersey",Northbound exit and entrance
New Jersey,"Middlesex County, New Jersey","Piscataway, New Jersey",8.47,Category:Pages with bad rounding precision,8,"Middlesex, New Jersey",Southbound exit and entrance
New Jersey,"Middlesex County, New Jersey","Piscataway, New Jersey",9.95,Category:Pages with bad rounding precision,9,Category:Jct template transclusions with missing shields,
New Jersey,"Somerset County, New Jersey","Franklin Township, Somerset County, New Jersey",10.27,Category:Pages with bad rounding precision,10,Category:Jct template transclusions with missing shields,
New Jersey,"Somerset County, New Jersey","Franklin Township, Somerset County, New Jersey",12.30,Category:Pages with bad rounding precision,12,Category:Jct template transclusions with missing shields,
New Jersey,"Somerset County, New Jersey","Bridgewater Township, New Jersey",13.50,Category:Pages with bad rounding precision,13,Category:Jct template transclusions with missing shields,Signed as 13A (east) and 13B (west) northbound
New Jersey,"Somerset County, New Jersey","Bridgewater Township, New Jersey",14.24,Category:Pages with bad rounding precision,14A,Category:Jct template transclusions with missing shields,No northbound entrance
New Jersey,"Somerset County, New Jersey","Bridgewater Township, New Jersey",14.35,Category:Pages with bad rounding precision,14B,Category:Jct template transclusions with missing shields,No southbound exit
New Jersey,"Somerset County, New Jersey","Bridgewater Township, New Jersey",17.86,Category:Pages with bad rounding precision,17,Category:Jct template transclusions with missing shields,Southbound exit and northbound entrance
New Jersey,"Somerset County, New Jersey","Bedminster, New Jersey",21.17,Category:Pages with bad rounding precision,21,Category:Jct template transclusions with missing shields,Signed as 21A (east) and 21B (west)
New Jersey,"Somerset County, New Jersey","Bedminster, New Jersey",22.21,Category:Pages with bad rounding precision,22,Category:Jct template transclusions with missing shields,Signed as 22A (south) and 22B (north)
New Jersey,"Somerset County, New Jersey","Bernards Township, New Jersey",26.48,Category:Pages with bad rounding precision,26,Category:Jct template transclusions with missing shields,Signed as 26A (south) and 26B (north)
New Jersey,"Somerset County, New Jersey","Bernards Township, New Jersey",29.94,Category:Pages with bad rounding precision,30A,"Basking Ridge, New Jersey",
New Jersey,"Somerset County, New Jersey","Bernards Township, New Jersey",29.94,Category:Pages with bad rounding precision,30B,Category:Jct template transclusions with missing shields,
New Jersey,"Morris County, New Jersey","Morris Township, New Jersey",34.02,Category:Pages with bad rounding precision,33,Jockey Hollow,
New Jersey,"Morris County, New Jersey","Morristown, New Jersey",35.77- 35.89,Category:Pages with bad rounding precision,35,Category:Jct template transclusions with missing shields,
New Jersey,"Morris County, New Jersey","Morristown, New Jersey",36.39- 36.60,Category:Pages with bad rounding precision,36,Category:Jct template transclusions with missing shields,Signed as 36A (east) and 36B (west) northbound
New Jersey,"Morris County, New Jersey","Hanover Township, New Jersey",37.92- 38.00,Category:Pages with bad rounding precision,37,Category:Jct template transclusions with missing shields,
New Jersey,"Morris County, New Jersey","Hanover Township, New Jersey",39.55,Category:Pages with bad rounding precision,39,Category:Jct template transclusions with missing shields,
New Jersey,"Morris County, New Jersey","Parsippany-Troy Hills, New Jersey",40.94,Category:Pages with bad rounding precision,40,Category:Jct template transclusions with missing shields,
New Jersey,"Morris County, New Jersey","Parsippany-Troy Hills, New Jersey",42.02,Category:Pages with bad rounding precision,41,Category:Jct template transclusions with missing shields,
New Jersey,"Morris County, New Jersey","Parsippany-Troy Hills, New Jersey",42.74,Category:Pages with bad rounding precision,42,Category:Jct template transclusions with missing shields,
New Jersey,"Morris County, New Jersey","Parsippany-Troy Hills, New Jersey",44.06,Category:Pages with bad rounding precision,43,"Mountain Lakes, New Jersey",
New Jersey,"Morris County, New Jersey","Boonton, New Jersey",44.95,Category:Pages with bad rounding precision,44,"Boonton, New Jersey",
New Jersey,"Morris County, New Jersey","Boonton, New Jersey",45.68,Category:Pages with bad rounding precision,45,"Boonton, New Jersey",
New Jersey,"Morris County, New Jersey","Montville, New Jersey",47.11,Category:Pages with bad rounding precision,47,Category:Jct template transclusions with missing shields,
New Jersey,"Morris County, New Jersey","Riverdale, New Jersey",53.14,Category:Pages with bad rounding precision,52,Category:Jct template transclusions with missing shields,
New Jersey,"Morris County, New Jersey","Riverdale, New Jersey",53.83,Category:Pages with bad rounding precision,53,Category:Jct template transclusions with missing shields,
New Jersey,"Passaic County, New Jersey","Wanaque, New Jersey",55.31,Category:Pages with bad rounding precision,55,Category:Jct template transclusions with missing shields,
New Jersey,"Bergen County, New Jersey","Oakland, New Jersey",58.13,Category:Pages with bad rounding precision,57,Skyline Drive (New Jersey),
New Jersey,"Bergen County, New Jersey","Oakland, New Jersey",58.86,Category:Pages with bad rounding precision,58,Category:Jct template transclusions with missing shields,
New Jersey,"Bergen County, New Jersey","Oakland, New Jersey",59.94,Category:Pages with bad rounding precision,59,Category:Jct template transclusions with missing shields,
New Jersey,"Bergen County, New Jersey","Mahwah, New Jersey",66.95,Category:Pages with bad rounding precision,66,Category:Jct template transclusions with missing shields,South end of Route17 overlap
,,,67.540.00,Category:Pages with bad rounding precision,New Jersey-New York state line; Route17 becomes NY17,New Jersey-New York state line; Route17 becomes NY17,New Jersey-New York state line; Route17 becomes NY17
New York,"Rockland County, New York","Suffern, New York",0.11- 0.65,Category:Pages with bad rounding precision,15,Category:Jct template transclusions with missing shields,"North end of NY17 overlap, west end of I-87/ Thruway overlap"
New York,"Rockland County, New York","Suffern, New York",3.47,Category:Pages with bad rounding precision,14B,Category:Jct template transclusions with missing shields,
New York,"Rockland County, New York","Suffern, New York",6.78,Category:Pages with bad rounding precision,"Spring Valley, New York","Spring Valley, New York","Spring Valley, New York"
New York,"Rockland County, New York","Suffern, New York",7.56,Category:Pages with bad rounding precision,14A,Category:Jct template transclusions with missing shields,
New York,"Rockland County, New York","Clarkstown, New York",8.29,Category:Pages with bad rounding precision,14,Category:Jct template transclusions with missing shields,
New York,"Rockland County, New York","Clarkstown, New York",10.15,Category:Pages with bad rounding precision,13,Category:Jct template transclusions with missing shields,Signed as 13N (north) and 13S (south)
New York,"Rockland County, New York","Clarkstown, New York",12.33,Category:Pages with bad rounding precision,12,Category:Jct template transclusions with missing shields,
New York,"Rockland County, New York","Nyack, New York",13.49,Category:Pages with bad rounding precision,11,Category:Jct template transclusions with missing shields,
New York,"Rockland County, New York","South Nyack, New York",14.34,Category:Pages with bad rounding precision,10,Category:Jct template transclusions with missing shields,No eastbound exit
New York,Hudson River,Hudson River,,,Tappan Zee Bridge,Tappan Zee Bridge,Tappan Zee Bridge
New York,"Westchester County, New York","Tarrytown, New York",18.02,Category:Pages with bad rounding precision,Tappan Zee Bridge toll barrier (eastbound only),Tappan Zee Bridge toll barrier (eastbound only),Tappan Zee Bridge toll barrier (eastbound only)
New York,"Westchester County, New York","Tarrytown, New York",18.24,Category:Pages with bad rounding precision,9,Category:Jct template transclusions with missing shields,
New York,"Westchester County, New York","Greenburgh, New York",19.78,Category:Pages with bad rounding precision,8,Category:Jct template transclusions with missing shields,East end of I-87/ Thruway overlap
New York,"Westchester County, New York","Elmsford, New York",20.55,Category:Pages with bad rounding precision,1,Category:Jct template transclusions with missing shields,Saw Mill River Parkway
New York,"Westchester County, New York","Elmsford, New York",21.23,Category:Pages with bad rounding precision,2,Category:Jct template transclusions with missing shields,No eastbound exit
New York,"Westchester County, New York","Elmsford, New York",,,3,Category:Jct template transclusions with missing shields,No access to Sprain Brook Parkway north from I-287 east
New York,"Westchester County, New York","Elmsford, New York",22.20,Category:Pages with bad rounding precision,4,Category:Jct template transclusions with missing shields,
New York,"Westchester County, New York","Greenburgh, New York",23.01,Category:Pages with bad rounding precision,5,Category:Jct template transclusions with missing shields,Bronx River Parkway
New York,"Westchester County, New York","White Plains, New York",24.10,Category:Pages with bad rounding precision,6,Category:Jct template transclusions with missing shields,Access to Bronx River Parkway
New York,"Westchester County, New York","White Plains, New York",,,7,Central Westchester Parkway,Westbound exit and eastbound entrance
New York,"Westchester County, New York","White Plains, New York",25.43,Category:Pages with bad rounding precision,8,Category:Jct template transclusions with missing shields,Signed as 8W (west) and 8E (east) eastbound; NY127 not signed westbound
New York,"Westchester County, New York","White Plains, New York",26.69,Category:Pages with bad rounding precision,9A,Category:Jct template transclusions with missing shields,No access to Westchester Avenue from westbound
New York,"Westchester County, New York","Harrison, New York",27.87,Category:Pages with bad rounding precision,9,Category:Jct template transclusions with missing shields,collector/distributor road
New York,"Westchester County, New York","Harrison, New York",28.57,Category:Pages with bad rounding precision,10,Category:Jct template transclusions with missing shields,
New York,"Westchester County, New York","Harrison, New York",28.57,Category:Pages with bad rounding precision,10,Bowman Avenue/ Webb Avenue,
New York,"Westchester County, New York","Rye (city), New York",30.67,Category:Pages with bad rounding precision,11,Category:Jct template transclusions with missing shields,Eastbound exit and westbound entrance
New York,"Westchester County, New York","Rye (city), New York",31.11,Category:Pages with bad rounding precision,12,Category:Jct template transclusions with missing shields,Eastbound exit and westbound entrance
New York,"Westchester County, New York","Rye (city), New York",31.11,Category:Pages with bad rounding precision,,"Port Chester, New York",Westbound exit and entrance
New York,"Westchester County, New York","Rye (city), New York",31.11,Category:Pages with bad rounding precision,,Category:Jct template transclusions with missing shields,Eastbound exit and westbound entrance
