name,provisional designation astronomy,discovery date,discovery site,discoverer
150201 -,1998 RR50,"September 14, 1998","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
150202 -,1998 RS56,"September 14, 1998",Socorro,LINEAR
150203 -,1998 RF57,"September 14, 1998",Socorro,LINEAR
150204 -,1998 RM64,"September 14, 1998",Socorro,LINEAR
150205 -,1998 RY76,"September 14, 1998",Socorro,LINEAR
List of minor planets: 150001-151000,1998 SN9,"September 17, 1998",Xinglong Station (NAOC),Beijing Schmidt CCD Asteroid Program
150207 -,1998 SV18,"September 18, 1998",Kitt Peak National Observatory,Spacewatch
150208 -,1998 SR50,"September 26, 1998",Kitt Peak,Spacewatch
150209 -,1998 SW51,"September 28, 1998",Kitt Peak,Spacewatch
150210 -,1998 ST55,"September 16, 1998",Anderson Mesa Station,Lowell Observatory Near-Earth-Object Search
150211 -,1998 SC76,"September 19, 1998","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
150212 -,1998 SV79,"September 26, 1998",Socorro,LINEAR
150213 -,1998 SS88,"September 26, 1998",Socorro,LINEAR
150214 -,1998 SF106,"September 26, 1998",Socorro,LINEAR
150215 -,1998 SP111,"September 26, 1998",Socorro,LINEAR
150216 -,1998 SY112,"September 26, 1998",Socorro,LINEAR
150217 -,1998 SP113,"September 26, 1998",Socorro,LINEAR
150218 -,1998 SN117,"September 26, 1998",Socorro,LINEAR
150219 -,1998 SW121,"September 26, 1998",Socorro,LINEAR
150220 -,1998 SS134,"September 26, 1998",Socorro,LINEAR
150221 -,1998 SX162,"September 26, 1998",Socorro,LINEAR
150222 -,1998 TA21,"October 13, 1998",Kitt Peak National Observatory,Spacewatch
150223 -,1998 TT22,"October 13, 1998",Kitt Peak,Spacewatch
150224 -,1998 UE1,"October 19, 1998",Catalina Sky Survey,Catalina Sky Survey
150225 -,1998 UG21,"October 28, 1998",List of observatory codes,L. Lai
150226 -,1998 UP40,"October 28, 1998","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
150227 -,1998 UT41,"October 28, 1998",Socorro,LINEAR
150228 -,1998 VN3,"November 10, 1998",Caussols,OCA-DLR Asteroid Survey
150229 -,1998 VJ22,"November 10, 1998","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
150230 -,1998 VW28,"November 10, 1998",Socorro,LINEAR
150231 -,1998 WV28,"November 23, 1998",Kitt Peak National Observatory,Spacewatch
150232 -,1998 XO1,"December 7, 1998",Caussols,OCA-DLR Asteroid Survey
150233 -,1998 XM8,"December 10, 1998",Kitt Peak National Observatory,Spacewatch
150234 -,1998 XW13,"December 15, 1998",Caussols,OCA-DLR Asteroid Survey
150235 -,1998 XO18,"December 8, 1998",Kitt Peak National Observatory,Spacewatch
150236 -,1998 XV19,"December 10, 1998",Kitt Peak,Spacewatch
150237 -,1998 XD23,"December 11, 1998",Kitt Peak,Spacewatch
